id,name,cb_cluster,player_role
404591,F. de Jong,2,Deep-lying playmaking midfielder
405071,I. Sangaré,1,Box-to-box midfielder
405471,Stephen Eustáquio,1,Box-to-box midfielder
405578,M. Loum,1,Box-to-box midfielder
405672,M. Marin,0,Ball-winning midfielder
406219,K. Jakić,1,Box-to-box midfielder
408158,D. Rice,3,Scoring midfielder
408534,P. Rosario,3,Scoring midfielder
409376,Santi Comesaña,1,Box-to-box midfielder
409847,S. Amallah,3,Scoring midfielder
413983,S. Jurić,0,Ball-winning midfielder
414655,E. Anderson,1,Box-to-box midfielder
414729,P. Sander,1,Box-to-box midfielder
415931,Douglas Augusto,1,Box-to-box midfielder
419550,B. Soumaré,1,Box-to-box midfielder
419555,A. Bernede,0,Ball-winning midfielder
420214,S. McTominay,3,Scoring midfielder
421580,Florentino,1,Box-to-box midfielder
421831,S. Lynen,1,Box-to-box midfielder
422765,Pablo Fornals,2,Deep-lying playmaking midfielder
425385,S. Colombatto,1,Box-to-box midfielder
425830,A. Haidara,1,Box-to-box midfielder
426522,B. Kamara,0,Ball-winning midfielder
427647,C. Baumgartner,3,Scoring midfielder
427909,Pol Lozano,1,Box-to-box midfielder
432255,Y. Bissouma,0,Ball-winning midfielder
432733,M. Camara,3,Scoring midfielder
432883,H. Magnetti,0,Ball-winning midfielder
434897,F. Onyeka,0,Ball-winning midfielder
436590,Filipe Soares,0,Ball-winning midfielder
437569,J. Stage,3,Scoring midfielder
438002,R. Schmid,2,Deep-lying playmaking midfielder
438764,L. Ofori,1,Box-to-box midfielder
439041,Iván Martín,1,Box-to-box midfielder
439042,Fran Beltrán,1,Box-to-box midfielder
440088,D. Frattesi,0,Ball-winning midfielder
440094,E. Ampadu,1,Box-to-box midfielder
440865,A. Maier,2,Deep-lying playmaking midfielder
440873,T. van de Looi,1,Box-to-box midfielder
441330,J. Holsgrove,2,Deep-lying playmaking midfielder
442227,M. Guendouzi,2,Deep-lying playmaking midfielder
443019,E. Kouassi,1,Box-to-box midfielder
445370,U. Račić,3,Scoring midfielder
446473,Y. Neyou,0,Ball-winning midfielder
446624,H. Rafia,0,Ball-winning midfielder
447253,J. Deminguet,0,Ball-winning midfielder
451116,L. Ferguson,3,Scoring midfielder
451978,K. Arriaga,1,Box-to-box midfielder
452575,M. Ugarte,0,Ball-winning midfielder
453102,P. Foden,3,Scoring midfielder
453111,F. Nmecha,3,Scoring midfielder
454107,C. Boukhalfa,0,Ball-winning midfielder
454119,E. Álvarez,1,Box-to-box midfielder
454303,A. Stach,1,Box-to-box midfielder
454449,S. Longstaff,3,Scoring midfielder
457301,R. Yates,0,Ball-winning midfielder
457970,Y. Maleh,0,Ball-winning midfielder
458113,J. Taylor,0,Ball-winning midfielder
458188,P. Gueye,3,Scoring midfielder
458654,T. Pobega,3,Scoring midfielder
458890,M. Caqueret,2,Deep-lying playmaking midfielder
459355,C. Jones,3,Scoring midfielder
459481,O. Skipp,0,Ball-winning midfielder
459532,M. Aebischer,1,Box-to-box midfielder
459826,A. Makoumbou,1,Box-to-box midfielder
460181,M. Hjulmand,1,Box-to-box midfielder
460270,Gustavo Assunção,0,Ball-winning midfielder
460280,Y. Adli,2,Deep-lying playmaking midfielder
460389,Daniel Bragança,3,Scoring midfielder
460439,H. Nicolussi Caviglia,1,Box-to-box midfielder
460582,Vitinha,2,Deep-lying playmaking midfielder
460584,Paulo Moreira,0,Ball-winning midfielder
461183,Antonio Blanco,1,Box-to-box midfielder
461813,A. Kraev,0,Ball-winning midfielder
462600,A. Sambi Lokonga,3,Scoring midfielder
464478,Ander Guevara,1,Box-to-box midfielder
465416,C. Cásseres,1,Box-to-box midfielder
465735,Kike Pérez,3,Scoring midfielder
466396,J. Cajuste,0,Ball-winning midfielder
466677,B. Mendy,0,Ball-winning midfielder
466748,Leandro Barreiro,0,Ball-winning midfielder
467164,J. Garner,1,Box-to-box midfielder
467539,I. Ilić,1,Box-to-box midfielder
468060,A. Mac Allister,3,Scoring midfielder
468428,Z. Youssouf,3,Scoring midfielder
470540,Vitor Carvalho,1,Box-to-box midfielder
472697,Lucas Ventura,0,Ball-winning midfielder
